title,donor/recipient
Arsin White Goods,EBRD/Uzbekistan
Arsenic Mitigation Review and Strategy Formulation,ASDB/Bangladesh
Arrears Clearance under the Post Conflict Country Facility,AFDF/Central African Rep.
ARP-Kereskedelmi (Bank Extension),EBRD/Hungary
ARP Budapest Bank Extension,EBRD/Hungary
A rolling stone gathers no mossâ€_ Support for civil society institutions in Georgia,Poland/Georgia
ArmenTel Privatisation,EBRD/Armenia
Armenia Small and Medium Enterprise Risk Capital Fund LP,IFC/Armenia
[Armenia's human rights defender body-building children's rights protection],Lithuania/Armenia
Armenian Renewable Energy Programme,EBRD/Armenia
Armenian copper programme,EBRD/Armenia
Armenian copper programme,EBRD/Armenia
Armenia Multi-bank Framework II: SME credit line,EBRD/Armenia
Armenia Multi-bank Framework II: SME credit line,EBRD/Armenia
Armenia Multi-bank Framework II: Inecobank,EBRD/Armenia
Armenia Multi-bank Framework II: Armeconombank Mortgage Facility,EBRD/Armenia
Armenia Multi-bank Framework II: Anelik Bank SME credit line III,EBRD/Armenia
Armenia Multi-bank Framework II: Anelik Bank SME credit line III,EBRD/Armenia
Armenia Multi-bank Framework II: Anelik Bank SME credit line III,EBRD/Armenia
Armenia Multi Bank Framework: Araratbank,EBRD/Armenia
Armenia multi-bank framework:Anelik Bank,EBRD/Armenia
Armenia multi-bank framework: ACBA,EBRD/Armenia
Armenia Multi-bank Framework,EBRD/Armenia
Armenia International Airport,EBRD/Armenia
Armenia Hotel Closed Joint Stock Company will renovate hotel in downtown Yerevan to international standards.,IFC/Armenia
[Armenia],Liechtenstein/Armenia
Armeconombank,EBRD/Armenia
Armagrobank,EBRD/Armenia
Ark Shipping Ltd,EBRD/Russia
Arkobank,IFC/Azerbaijan
Arka BZ WBK Property Market Fund,EBRD/Poland
Aricultural Credit (Fourth Loan ) - Agricultural Credit Bank of Jamaica,CDB/Jamaica
Arhangai Rural Poverty Alleviation Project,IFAD/Mongolia
Argus Capital Partners,EBRD/Poland
Arges County Regional Solid Waste,EBRD/Romania
Argentina Long-Term Enhanced Facility will support 2-year lines of credit provided by the domestic operations of foreign banks to selected Argentine second-tier companies.,IFC/Argentina
Argentina Avanza Social Sector Program,IADB/Argentina
Arenal-Tempisque Irrigation Project,IADB/Costa Rica
Area Development Project in the North Central Region,ASDB/Sri Lanka
Area control centre,EBRD/Croatia
Area-Based Agricultural Modernization Programme,IFAD/Uganda
Area Based Agricultural Modernization Program (Feeder Road Rehabilitation),AFDF/Uganda
Arctic privatisation and modernisation,EBRD/Romania
Archman Hydrotherapy Center,OPEC/Turkmenistan
Architectural Designs for Paseur Hospital,IADB/Uruguay
Archangelsk municipal water,EBRD/Russia
Archaeological excavations in the Luibic Cave and Cooperation with the Museum of Neanderthal Man in Krapina,Monaco/Croatia
Archaeological cooperation in the ArkhangaÃè region ,Monaco/Mongolia
Arcelik A.S.,IFC/Turkey
AR Carton,EBRD/Russia
